date,close,volume,open,high,low,stock_name
2023-03-17,102.46,76140310.0,100.84,103.49,100.75,Google
2023-03-16,101.07,54588200.0,96.57,101.97,95.87,Google
2023-03-15,96.55,38367330.0,93.54,97.25,93.04,Google
2023-03-14,94.25,32303880.0,93.07,94.83,92.78,Google
2023-03-13,91.66,31508570.0,90.57,93.08,89.94,Google
2023-03-10,91.01,32850090.0,92.5,93.18,90.8,Google
2023-03-09,92.66,24438890.0,94.49,95.92,92.36,Google
2023-03-08,94.65,25395200.0,94.41,96.24,94.41,Google
2023-03-07,94.17,24101540.0,95.42,96.09,93.84,Google
2023-03-06,95.58,28288210.0,94.36,96.3,94.3,Google
2023-03-03,94.02,30242540.0,92.74,94.11,92.66,Google
2023-03-02,92.31,23344560.0,89.86,92.48,89.77,Google
2023-03-01,90.51,26323880.0,90.16,91.2,89.85,Google
2023-02-28,90.3,30546910.0,89.54,91.45,89.52,Google
2023-02-27,90.1,22724260.0,90.09,90.45,89.61,Google
2023-02-24,89.35,31295620.0,89.63,90.13,88.86,Google
2023-02-23,91.07,32423720.0,92.13,92.13,90.01,Google
2023-02-22,91.8,29891140.0,91.93,92.36,90.87,Google
2023-02-21,92.05,28367200.0,93.24,93.41,92.0,Google
2023-02-17,94.59,31095070.0,95.07,95.75,93.45,Google
2023-02-16,95.78,35642110.0,95.54,97.88,94.97,Google
2023-02-15,97.1,37029890.0,94.74,97.34,94.36,Google
2023-02-14,94.95,42513080.0,94.66,95.18,92.65,Google
2023-02-13,95.0,43116560.0,95.01,95.35,94.05,Google
2023-02-10,94.86,49325280.0,95.74,97.02,94.53,Google
2023-02-09,95.46,97798570.0,100.54,100.61,93.86,Google
2023-02-08,100.0,73546030.0,102.69,103.58,98.46,Google
2023-02-07,108.04,33738830.0,103.63,108.67,103.55,Google
2023-02-06,103.47,25573050.0,102.69,104.7,102.21,Google
2023-02-03,105.22,36823420.0,103.51,108.02,103.3,Google
2023-02-02,108.8,46622630.0,106.79,108.82,106.54,Google
2023-02-01,101.43,26392570.0,99.74,102.19,98.42,Google
2023-01-31,99.87,22306780.0,97.86,99.91,97.79,Google
2023-01-30,97.95,24365140.0,98.75,99.41,97.52,Google
2023-01-27,100.71,29020350.0,99.05,101.58,98.97,Google
2023-01-26,99.16,24542060.0,98.28,99.21,96.82,Google
2023-01-25,96.73,31000850.0,97.2,97.72,95.26,Google
2023-01-24,99.21,27391370.0,99.55,101.09,98.7,Google
2023-01-23,101.21,31791780.0,99.13,101.4,98.75,Google
2023-01-20,99.28,53704760.0,95.95,99.42,95.91,Google
2023-01-19,93.91,28707650.0,91.39,94.4,91.38,Google
2023-01-18,91.78,19641620.0,92.94,93.59,91.4,Google
2023-01-17,92.16,22935820.0,92.78,92.97,90.84,Google
2023-01-13,92.8,18630710.0,91.53,92.98,90.93,Google
2023-01-12,91.91,22754220.0,92.4,92.62,90.57,Google
2023-01-11,92.26,25998840.0,90.06,92.45,89.74,Google
2023-01-10,89.24,22855590.0,86.72,89.48,86.7,Google
2023-01-09,88.8,22996680.0,89.2,90.83,88.58,Google
2023-01-06,88.16,26612630.0,87.36,88.47,85.57,Google
2023-01-05,86.77,23136080.0,88.07,88.21,86.56,Google
2023-01-04,88.71,27046480.0,91.01,91.24,87.8,Google
2023-01-03,89.7,20738460.0,89.83,91.55,89.02,Google
2022-12-30,88.73,19190300.0,87.37,88.83,87.03,Google
2022-12-29,88.95,18280660.0,87.03,89.37,86.99,Google
2022-12-28,86.46,17879570.0,87.5,88.52,86.37,Google
2022-12-27,87.93,15470870.0,89.31,89.5,87.54,Google
2022-12-23,89.81,17815010.0,87.62,90.1,87.62,Google
2022-12-22,88.26,23656070.0,88.93,89.18,86.94,Google
2022-12-21,90.25,20336390.0,89.73,90.92,88.91,Google
2022-12-20,89.63,21976850.0,88.73,89.78,88.04,Google
2022-12-19,89.15,23020540.0,90.88,91.2,88.93,Google
2022-12-16,90.86,48485510.0,91.2,91.75,90.01,Google
2022-12-15,91.2,28298760.0,93.54,94.03,90.43,Google
2022-12-14,95.31,26452940.0,95.54,97.22,93.94,Google
2022-12-13,95.85,34788520.0,98.07,99.8,95.38,Google
2022-12-12,93.56,27380950.0,93.09,93.87,91.9,Google
2022-12-09,93.07,21885310.0,93.9,94.49,93.02,Google
2022-12-08,93.95,25593230.0,95.69,95.87,93.8,Google
2022-12-07,95.15,26647880.0,96.77,97.31,95.03,Google
2022-12-06,97.31,20877620.0,99.67,100.21,96.76,Google
2022-12-05,99.87,19955550.0,99.82,101.75,99.36,Google
2022-12-02,100.83,18821530.0,99.37,101.15,99.17,Google
2022-12-01,101.28,21771540.0,101.4,102.59,100.67,Google
2022-11-30,101.45,39888070.0,95.12,101.45,94.67,Google
2022-11-29,95.44,20220010.0,96.0,96.39,94.39,Google
2022-11-28,96.25,19981970.0,97.2,97.83,95.89,Google
2022-11-25,97.6,8567819.0,98.47,98.94,97.53,Google
